柒 qi1
栖 qi1 xi1
桤 qi1
桼 qi1
棲 qi1 xi1
榿 qi1
欺 qi1
沏 qi1 qie1 qie4
淒 qi1
漆 qi1
磎 qi1 xi1
磩 qi1 qi4
緀 qi1
萋 qi1
諆 qi1 ji1
郪 qi1 ci1
鏚 qi4 qi1
霋 qi1
顣 qi1 cu4
魌 qi1
鶈 qi1
鸂 qi1 xi1
仈 ba1
八 ba1
叭 ba1 ba5
吧 ba5 ba1
哵 ba1
岜 ba1
巴 ba1
扒 ba1 pa1 pa2
捌 ba1
朳 ba1
玐 ba1
疤 ba1
笆 ba1
粑 ba1
羓 ba1
芭 ba1 pa1
豝 ba1
釟 ba1
鈀 ba3 pa2 ba1
鲃 ba1 ba4
㡱 jiu3
久 jiu3
乆 jiu3
九 jiu3
乣 jiu3
奺 jiu3
灸 jiu3
玖 jiu3
糺 jiu1 jiu3 jiao3
糾 jiu1 jiu3
紤 jiu3
纠 jiu1 jiu3 jiao3
舏 jiu3
艽 jiu3 jiao1
酒 jiu3
镹 jiu3
韭 jiu3
韮 jiu3
o ling2
O ling2
〇 ling2
洞 ling5
幺 yi5
妖 yi5
吆 yi5
腰 yi5
邀 yi5
夭 yi5
訞 yi5
两 er5
俩 er5
仨 san1
拐 qi5
狗 jiu5
Ⅰ yi1
Ⅱ er2
Ⅲ san1
Ⅳ si4
Ⅴ wu3
Ⅵ liu4
Ⅶ qi1
Ⅷ ba1
Ⅸ jiu3
① yi1
② er4
③ san1
④ si4
⑤ wu3
⑥ liu4
⑦ qi1
⑧ ba1
⑨ jiu3
